original,new_file,attribution
2025-lincoln-penny-uncirculated-obverse-philadelphia.jpg,attributed_2025-lincoln-penny-uncirculated-obverse-philadelphia.jpg,United States Mint image
American-Eagle-Silver-Bullion-Reverse (1).jpg,attributed_American-Eagle-Silver-Bullion-Reverse (1).jpg,United States Mint image
SemiQ-Revolutionary-War-Obverse-Unc-P.jpg,attributed_SemiQ-Revolutionary-War-Obverse-Unc-P.jpg,United States Mint image
1907-saint-gaudens-semiq-gold-reverse.jpg,attributed_1907-saint-gaudens-semiq-gold-reverse.jpg,United States Mint image
SemiQ-Revolutionary-War-Reverse-Unc (1).jpg,attributed_SemiQ-Revolutionary-War-Reverse-Unc (1).jpg,United States Mint image
2023-american-eagle-palladium-one-ounce-bullion-coin-obverse.jpg,attributed_2023-american-eagle-palladium-one-ounce-bullion-coin-obverse.jpg,United States Mint image
American-Buffalo-Gold-Bullion-Reverse (1).jpg,attributed_American-Buffalo-Gold-Bullion-Reverse (1).jpg,United States Mint image
2024-american-eagle-palladium-one-ounce-proof-coin-obverse (1).jpg,attributed_2024-american-eagle-palladium-one-ounce-proof-coin-obverse (1).jpg,United States Mint image
2025-Peace-Proof-Obverse.jpg,attributed_2025-Peace-Proof-Obverse.jpg,United States Mint image
American-Eagle-Silver-Proof-Privy-Reverse (1).jpg,attributed_American-Eagle-Silver-Proof-Privy-Reverse (1).jpg,United States Mint image
American-Eagle-Gold-Proof-Reverse (1).jpg,attributed_American-Eagle-Gold-Proof-Reverse (1).jpg,United States Mint image
2025-lincoln-penny-uncirculated-obverse-philadelphia (1).jpg,attributed_2025-lincoln-penny-uncirculated-obverse-philadelphia (1).jpg,United States Mint image
American-Eagle-Platinum-Proof-Reverse.jpg,attributed_American-Eagle-Platinum-Proof-Reverse.jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-gold-proof-obverse.jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-gold-proof-obverse.jpg,United States Mint image
Mercury-Dime-Gold-Obverse (1).jpg,attributed_Mercury-Dime-Gold-Obverse (1).jpg,United States Mint image
2025-american-eagle-gold-one-ounce-uncirculated-coin-reverse (1).jpg,attributed_2025-american-eagle-gold-one-ounce-uncirculated-coin-reverse (1).jpg,United States Mint image
2025-Superman-Gold-Reverse.jpg,attributed_2025-Superman-Gold-Reverse.jpg,United States Mint image
2025-american-women-quarters-coin-althea-gibson-uncirculated-reverse.jpg,attributed_2025-american-women-quarters-coin-althea-gibson-uncirculated-reverse.jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-silver-proof-obverse (1).jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-silver-proof-obverse (1).jpg,United States Mint image
SemiQ-Gettysburg-Obverse-Unc-P (1).jpg,attributed_SemiQ-Gettysburg-Obverse-Unc-P (1).jpg,United States Mint image
SemiQ-Revolutionary-War-Obverse-Unc-D.jpg,attributed_SemiQ-Revolutionary-War-Obverse-Unc-D.jpg,United States Mint image
2025-american-eagle-laser-privy-silver-proof-obverse (1).jpg,attributed_2025-american-eagle-laser-privy-silver-proof-obverse (1).jpg,United States Mint image
American-Innovation-Unc-Reverse-Wisconsin.jpg,attributed_American-Innovation-Unc-Reverse-Wisconsin.jpg,United States Mint image
SemiQ-Mayflower-Obverse-Proof (1).jpg,attributed_SemiQ-Mayflower-Obverse-Proof (1).jpg,United States Mint image
Standing-Liberty-Gold-Obverse (1).jpg,attributed_Standing-Liberty-Gold-Obverse (1).jpg,United States Mint image
Omega-Penny-Obverse-Gold (1).jpg,attributed_Omega-Penny-Obverse-Gold (1).jpg,United States Mint image
2025-american-women-quarters-coin-ida-wells-uncirculated-reverse.jpg,attributed_2025-american-women-quarters-coin-ida-wells-uncirculated-reverse.jpg,United States Mint image
2025-Wonder-Woman-Gold-Proof-Coin-Obverse.jpg,attributed_2025-Wonder-Woman-Gold-Proof-Coin-Obverse.jpg,United States Mint image
2023-american-eagle-palladium-one-ounce-uncirculated-coin-obverse (1).jpg,attributed_2023-american-eagle-palladium-one-ounce-uncirculated-coin-obverse (1).jpg,United States Mint image
Nickel-Proof-Reverse (1).jpg,attributed_Nickel-Proof-Reverse (1).jpg,United States Mint image
2025-american-women-quarters-coin-uncirculated-obverse-philadelphia.jpg,attributed_2025-american-women-quarters-coin-uncirculated-obverse-philadelphia.jpg,United States Mint image
SemiQ-Gettysburg-Obverse-Proof (1).jpg,attributed_SemiQ-Gettysburg-Obverse-Proof (1).jpg,United States Mint image
Omega-Penny-Obverse-Philadelphia.jpg,attributed_Omega-Penny-Obverse-Philadelphia.jpg,United States Mint image
SemiQ-Mayflower-Obverse-Unc-P (1).jpg,attributed_SemiQ-Mayflower-Obverse-Unc-P (1).jpg,United States Mint image
Half-Dollar-Proof-Reverse (1).jpg,attributed_Half-Dollar-Proof-Reverse (1).jpg,United States Mint image
SemiQ-Mayflower-Reverse-Proof (1).jpg,attributed_SemiQ-Mayflower-Reverse-Proof (1).jpg,United States Mint image
Omega-Penny-Reverse.jpg,attributed_Omega-Penny-Reverse.jpg,United States Mint image
2025-american-eagle-palladium-reverse-proof-obverse.jpg,attributed_2025-american-eagle-palladium-reverse-proof-obverse.jpg,United States Mint image
2025-american-eagle-palladium-reverse-proof-obverse (1).jpg,attributed_2025-american-eagle-palladium-reverse-proof-obverse (1).jpg,United States Mint image
2025-american-eagle-silver-one-ounce-uncirculated-coin-reverse (1).jpg,attributed_2025-american-eagle-silver-one-ounce-uncirculated-coin-reverse (1).jpg,United States Mint image
2025-american-eagle-gold-one-ounce-uncirculated-coin-obverse (1).jpg,attributed_2025-american-eagle-gold-one-ounce-uncirculated-coin-obverse (1).jpg,United States Mint image
SemiQ-Gettysburg-Obverse-Proof.jpg,attributed_SemiQ-Gettysburg-Obverse-Proof.jpg,United States Mint image
2025-us-marine-corps-250th-anniversary-commemorative-clad-proof-reverse (1).jpg,attributed_2025-us-marine-corps-250th-anniversary-commemorative-clad-proof-reverse (1).jpg,United States Mint image
2025-Morgan-Unc-Reverse.jpg,attributed_2025-Morgan-Unc-Reverse.jpg,United States Mint image
